Question / Topic,Asked Count,Company,Date Asked,Difficulty,Frequency Bucket,Is Premium,Notes,Platform,Round Type,Source,Topic
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
,,,,,,No,,,,,
288. Unique Word Abbreviation,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
527. Word Abbreviation,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
588. Design In-Memory File System,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
487. Max Consecutive Ones II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
711. Number of Distinct Islands II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
362. Design Hit Counter,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
353. Design Snake Game,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1055. Shortest Way to Form String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
276. Paint Fence,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
505. The Maze II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1676. Lowest Common Ancestor of a Binary Tree IV,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1607. Sellers With No Sales,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
3009. Maximum Number of Intersections on the Chart,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
2655. Find Maximal Uncovered Ranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1485. Clone Binary Tree With Random Pointer,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1730. Shortest Path to Get Food,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
340. Longest Substring with At Most K Distinct Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1062. Longest Repeating Substring,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
359. Logger Rate Limiter,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
428. Serialize and Deserialize N-ary Tree,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
305. Number of Islands II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
568. Maximum Vacation Days,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
772. Basic Calculator III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
694. Number of Distinct Islands,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1429. First Unique Number,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1506. Find Root of N-Ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
364. Nested List Weight Sum II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1166. Design File System,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
267. Palindrome Permutation II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
716. Max Stack,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1229. Meeting Scheduler,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
510. Inorder Successor in BST II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
727. Minimum Window Subsequence,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
296. Best Meeting Point,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
616. Add Bold Tag in String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1245. Tree Diameter,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
723. Candy Crush,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
323. Number of Connected Components in an Undirected Graph,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
158. Read N Characters Given read4 II - Call Multiple Times,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1076. Project Employees II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1113. Reported Posts,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1398. Customers Who Bought Products A and B but Not C,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1142. User Activity for the Past 30 Days II,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1949. Strong Friendship,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1236. Web Crawler,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1077. Project Employees III,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1225. Report Contiguous Dates,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
750. Number Of Corner Rectangles,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1241. Number of Comments per Post,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
2199. Finding the Topic of Each Post,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
157. Read N Characters Given Read4,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1973. Count Nodes Equal to Sum of Descendants,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1132. Reported Posts II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1197. Minimum Knight Moves,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
271. Encode and Decode Strings,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
285. Inorder Successor in BST,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
265. Paint House II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
578. Get Highest Answer Rate Question,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
159. Longest Substring with At Most Two Distinct Characters,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1428. Leftmost Column with at Least a One,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1892. Page Recommendations II,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1826. Faulty Sensor,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
642. Design Search Autocomplete System,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
1322. Ads Performance,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1445. Apples & Oranges,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1242. Web Crawler Multithreaded,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
266. Palindrome Permutation,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1586. Binary Search Tree Iterator II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1264. Page Recommendations,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
277. Find the Celebrity,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1213. Intersection of Three Sorted Arrays,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
333. Largest BST Subtree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
325. Maximum Size Subarray Sum Equals k,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1810. Minimum Path Cost in a Hidden Grid,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1522. Diameter of N-Ary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
261. Graph Valid Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
161. One Edit Distance,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
597. Friend Requests I: Overall Acceptance Rate,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
252. Meeting Rooms,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
490. The Maze,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
317. Shortest Distance from All Buildings,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
311. Sparse Matrix Multiplication,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
545. Boundary of Binary Tree,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1644. Lowest Common Ancestor of a Binary Tree II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
246. Strobogrammatic Number,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1891. Cutting Ribbons,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
286. Walls and Gates,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1778. Shortest Path in a Hidden Grid,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
247. Strobogrammatic Number II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
269. Alien Dictionary,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
253. Meeting Rooms II,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
163. Missing Ranges,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
348. Design Tic-Tac-Toe,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
489. Robot Room Cleaner,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
536. Construct Binary Tree from String,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1868. Product of Two Run-Length Encoded Arrays,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1060. Missing Element in Sorted Array,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
249. Group Shifted Strings,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1216. Valid Palindrome III,,,,Hard,,Yes,,LeetCode,,LeetCode Premium,
314. Binary Tree Vertical Order Traversal,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
408. Valid Word Abbreviation,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
708. Insert into a Sorted Circular Linked List,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
346. Moving Average from Data Stream,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
1570. Dot Product of Two Sparse Vectors,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1650. Lowest Common Ancestor of a Binary Tree III,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
1762. Buildings With an Ocean View,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
270. Closest Binary Search Tree Value,,,,Easy,,Yes,,LeetCode,,LeetCode Premium,
339. Nested List Weight Sum,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
426. Convert Binary Search Tree to Sorted Doubly Linked List,,,,Medium,,Yes,,LeetCode,,LeetCode Premium,
262. Trips and Users,,,,Hard,,No,,LeetCode,,LeetCode Free,
284. Peeking Iterator,,,,Medium,,No,,LeetCode,,LeetCode Free,
279. Perfect Squares,,,,Medium,,No,,LeetCode,,LeetCode Free,
164. Maximum Gap,,,,Medium,,No,,LeetCode,,LeetCode Free,
276. Paint Fence,,,,Medium,,No,,LeetCode,,LeetCode Free,
201. Bitwise AND of Numbers Range,,,,Medium,,No,,LeetCode,,LeetCode Free,
288. Unique Word Abbreviation,,,,Medium,,No,,LeetCode,,LeetCode Free,
194. Transpose File,,,,Medium,,No,,LeetCode,,LeetCode Free,
87. Scramble String,,,,Hard,,No,,LeetCode,,LeetCode Free,
106. Construct Binary Tree from Inorder and Postorder Traversal,,,,Medium,,No,,LeetCode,,LeetCode Free,
306. Additive Number,,,,Medium,,No,,LeetCode,,LeetCode Free,
362. Design Hit Counter,,,,Medium,,No,,LeetCode,,LeetCode Free,
391. Perfect Rectangle,,,,Hard,,No,,LeetCode,,LeetCode Free,
382. Linked List Random Node,,,,Medium,,No,,LeetCode,,LeetCode Free,
336. Palindrome Pairs,,,,Hard,,No,,LeetCode,,LeetCode Free,
298. Binary Tree Longest Consecutive Sequence,,,,Medium,,No,,LeetCode,,LeetCode Free,
372. Super Pow,,,,Medium,,No,,LeetCode,,LeetCode Free,
309. Best Time to Buy and Sell Stock with Cooldown,,,,Medium,,No,,LeetCode,,LeetCode Free,
327. Count of Range Sum,,,,Hard,,No,,LeetCode,,LeetCode Free,
353. Design Snake Game,,,,Medium,,No,,LeetCode,,LeetCode Free,
464. Can I Win,,,,Medium,,No,,LeetCode,,LeetCode Free,
395. Longest Substring with At Least K Repeating Characters,,,,Medium,,No,,LeetCode,,LeetCode Free,
454. 4Sum II,,,,Medium,,No,,LeetCode,,LeetCode Free,
452. Minimum Number of Arrows to Burst Balloons,,,,Medium,,No,,LeetCode,,LeetCode Free,
446. Arithmetic Slices II - Subsequence,,,,Hard,,No,,LeetCode,,LeetCode Free,
420. Strong Password Checker,,,,Hard,,No,,LeetCode,,LeetCode Free,
475. Heaters,,,,Medium,,No,,LeetCode,,LeetCode Free,
487. Max Consecutive Ones II,,,,Medium,,No,,LeetCode,,LeetCode Free,
401. Binary Watch,,,,Easy,,No,,LeetCode,,LeetCode Free,
433. Minimum Genetic Mutation,,,,Medium,,No,,LeetCode,,LeetCode Free,
546. Remove Boxes,,,,Hard,,No,,LeetCode,,LeetCode Free,
537. Complex Number Multiplication,,,,Medium,,No,,LeetCode,,LeetCode Free,
607. Sales Person,,,,Easy,,No,,LeetCode,,LeetCode Free,
627. Swap Sex of Employees,,,,Easy,,No,,LeetCode,,LeetCode Free,
527. Word Abbreviation,,,,Hard,,No,,LeetCode,,LeetCode Free,
588. Design In-Memory File System,,,,Hard,,No,,LeetCode,,LeetCode Free,
575. Distribute Candies,,,,Easy,,No,,LeetCode,,LeetCode Free,
532. K-diff Pairs in an Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
504. Base 7,,,,Easy,,No,,LeetCode,,LeetCode Free,
592. Fraction Addition and Subtraction,,,,Medium,,No,,LeetCode,,LeetCode Free,
661. Image Smoother,,,,Easy,,No,,LeetCode,,LeetCode Free,
709. To Lower Case,,,,Easy,,No,,LeetCode,,LeetCode Free,
707. Design Linked List,,,,Medium,,No,,LeetCode,,LeetCode Free,
664. Strange Printer,,,,Hard,,No,,LeetCode,,LeetCode Free,
665. Non-decreasing Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
652. Find Duplicate Subtrees,,,,Medium,,No,,LeetCode,,LeetCode Free,
629. K Inverse Pairs Array,,,,Hard,,No,,LeetCode,,LeetCode Free,
655. Print Binary Tree,,,,Medium,,No,,LeetCode,,LeetCode Free,
641. Design Circular Deque,,,,Medium,,No,,LeetCode,,LeetCode Free,
668. Kth Smallest Number in Multiplication Table,,,,Hard,,No,,LeetCode,,LeetCode Free,
841. Keys and Rooms,,,,Medium,,No,,LeetCode,,LeetCode Free,
818. Race Car,,,,Hard,,No,,LeetCode,,LeetCode Free,
851. Loud and Rich,,,,Medium,,No,,LeetCode,,LeetCode Free,
848. Shifting Letters,,,,Medium,,No,,LeetCode,,LeetCode Free,
769. Max Chunks To Make Sorted,,,,Medium,,No,,LeetCode,,LeetCode Free,
741. Cherry Pickup,,,,Hard,,No,,LeetCode,,LeetCode Free,
839. Similar String Groups,,,,Hard,,No,,LeetCode,,LeetCode Free,
754. Reach a Number,,,,Medium,,No,,LeetCode,,LeetCode Free,
788. Rotated Digits,,,,Medium,,No,,LeetCode,,LeetCode Free,
783. Minimum Distance Between BST Nodes,,,,Easy,,No,,LeetCode,,LeetCode Free,
897. Increasing Order Search Tree,,,,Easy,,No,,LeetCode,,LeetCode Free,
873. Length of Longest Fibonacci Subsequence,,,,Medium,,No,,LeetCode,,LeetCode Free,
874. Walking Robot Simulation,,,,Medium,,No,,LeetCode,,LeetCode Free,
869. Reordered Power of 2,,,,Medium,,No,,LeetCode,,LeetCode Free,
871. Minimum Number of Refueling Stops,,,,Hard,,No,,LeetCode,,LeetCode Free,
864. Shortest Path to Get All Keys,,,,Hard,,No,,LeetCode,,LeetCode Free,
895. Maximum Frequency Stack,,,,Hard,,No,,LeetCode,,LeetCode Free,
889. Construct Binary Tree from Preorder and Postorder Traversal,,,,Medium,,No,,LeetCode,,LeetCode Free,
898. Bitwise ORs of Subarrays,,,,Medium,,No,,LeetCode,,LeetCode Free,
877. Stone Game,,,,Medium,,No,,LeetCode,,LeetCode Free,
932. Beautiful Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
937. Reorder Data in Log Files,,,,Medium,,No,,LeetCode,,LeetCode Free,
935. Knight Dialer,,,,Medium,,No,,LeetCode,,LeetCode Free,
914. X of a Kind in a Deck of Cards,,,,Easy,,No,,LeetCode,,LeetCode Free,
925. Long Pressed Name,,,,Easy,,No,,LeetCode,,LeetCode Free,
900. RLE Iterator,,,,Medium,,No,,LeetCode,,LeetCode Free,
910. Smallest Range II,,,,Medium,,No,,LeetCode,,LeetCode Free,
923. 3Sum With Multiplicity,,,,Medium,,No,,LeetCode,,LeetCode Free,
929. Unique Email Addresses,,,,Easy,,No,,LeetCode,,LeetCode Free,
926. Flip String to Monotone Increasing,,,,Medium,,No,,LeetCode,,LeetCode Free,
1007. Minimum Domino Rotations For Equal Row,,,,Medium,,No,,LeetCode,,LeetCode Free,
976. Largest Perimeter Triangle,,,,Easy,,No,,LeetCode,,LeetCode Free,
939. Minimum Area Rectangle,,,,Medium,,No,,LeetCode,,LeetCode Free,
943. Find the Shortest Superstring,,,,Hard,,No,,LeetCode,,LeetCode Free,
945. Minimum Increment to Make Array Unique,,,,Medium,,No,,LeetCode,,LeetCode Free,
990. Satisfiability of Equality Equations,,,,Medium,,No,,LeetCode,,LeetCode Free,
1025. Divisor Game,,,,Easy,,No,,LeetCode,,LeetCode Free,
962. Maximum Width Ramp,,,,Medium,,No,,LeetCode,,LeetCode Free,
1009. Complement of Base 10 Integer,,,,Easy,,No,,LeetCode,,LeetCode Free,
1027. Longest Arithmetic Subsequence,,,,Medium,,No,,LeetCode,,LeetCode Free,
1032. Stream of Characters,,,,Hard,,No,,LeetCode,,LeetCode Free,
1054. Distant Barcodes,,,,Medium,,No,,LeetCode,,LeetCode Free,
1053. Previous Permutation With One Swap,,,,Medium,,No,,LeetCode,,LeetCode Free,
1186. Maximum Subarray Sum with One Deletion,,,,Medium,,No,,LeetCode,,LeetCode Free,
1208. Get Equal Substrings Within Budget,,,,Medium,,No,,LeetCode,,LeetCode Free,
1055. Shortest Way to Form String,,,,Medium,,No,,LeetCode,,LeetCode Free,
1203. Sort Items by Groups Respecting Dependencies,,,,Hard,,No,,LeetCode,,LeetCode Free,
1154. Day of the Year,,,,Easy,,No,,LeetCode,,LeetCode Free,
1195. Fizz Buzz Multithreaded,,,,Medium,,No,,LeetCode,,LeetCode Free,
1179. Reformat Department Table,,,,Easy,,No,,LeetCode,,LeetCode Free,
1219. Path with Maximum Gold,,,,Medium,,No,,LeetCode,,LeetCode Free,
1323. Maximum 69 Number,,,,Easy,,No,,LeetCode,,LeetCode Free,
1282. Group the People Given the Group Size They Belong To,,,,Medium,,No,,LeetCode,,LeetCode Free,
1299. Replace Elements with Greatest Element on Right Side,,,,Easy,,No,,LeetCode,,LeetCode Free,
1314. Matrix Block Sum,,,,Medium,,No,,LeetCode,,LeetCode Free,
1255. Maximum Score Words Formed by Letters,,,,Hard,,No,,LeetCode,,LeetCode Free,
1221. Split a String in Balanced Strings,,,,Easy,,No,,LeetCode,,LeetCode Free,
1218. Longest Arithmetic Subsequence of Given Difference,,,,Medium,,No,,LeetCode,,LeetCode Free,
1309. Decrypt String from Alphabet to Integer Mapping,,,,Easy,,No,,LeetCode,,LeetCode Free,
1326. Minimum Number of Taps to Open to Water a Garden,,,,Hard,,No,,LeetCode,,LeetCode Free,
1410. HTML Entity Parser,,,,Medium,,No,,LeetCode,,LeetCode Free,
1332. Remove Palindromic Subsequences,,,,Easy,,No,,LeetCode,,LeetCode Free,
1372. Longest ZigZag Path in a Binary Tree,,,,Medium,,No,,LeetCode,,LeetCode Free,
1380. Lucky Numbers in a Matrix,,,,Easy,,No,,LeetCode,,LeetCode Free,
1386. Cinema Seat Allocation,,,,Medium,,No,,LeetCode,,LeetCode Free,
1345. Jump Game IV,,,,Hard,,No,,LeetCode,,LeetCode Free,
1365. How Many Numbers Are Smaller Than the Current Number,,,,Easy,,No,,LeetCode,,LeetCode Free,
1360. Number of Days Between Two Dates,,,,Easy,,No,,LeetCode,,LeetCode Free,
1383. Maximum Performance of a Team,,,,Hard,,No,,LeetCode,,LeetCode Free,
1432. Max Difference You Can Get From Changing an Integer,,,,Medium,,No,,LeetCode,,LeetCode Free,
1466. Reorder Routes to Make All Paths Lead to the City Zero,,,,Medium,,No,,LeetCode,,LeetCode Free,
1492. The kth Factor of n,,,,Medium,,No,,LeetCode,,LeetCode Free,
1504. Count Submatrices With All Ones,,,,Medium,,No,,LeetCode,,LeetCode Free,
1461. Check If a String Contains All Binary Codes of Size K,,,,Medium,,No,,LeetCode,,LeetCode Free,
1475. Final Prices With a Special Discount in a Shop,,,,Easy,,No,,LeetCode,,LeetCode Free,
1463. Cherry Pickup II,,,,Hard,,No,,LeetCode,,LeetCode Free,
1442. Count Triplets That Can Form Two Arrays of Equal XOR,,,,Medium,,No,,LeetCode,,LeetCode Free,
1523. Count Odd Numbers in an Interval Range,,,,Easy,,No,,LeetCode,,LeetCode Free,
1484. Group Sold Products By The Date,,,,Easy,,No,,LeetCode,,LeetCode Free,
1524. Number of Sub-arrays With Odd Sum,,,,Medium,,No,,LeetCode,,LeetCode Free,
1559. Detect Cycles in 2D Grid,,,,Medium,,No,,LeetCode,,LeetCode Free,
1561. Maximum Number of Coins You Can Get,,,,Medium,,No,,LeetCode,,LeetCode Free,
1574. Shortest Subarray to be Removed to Make Array Sorted,,,,Medium,,No,,LeetCode,,LeetCode Free,
1579. Remove Max Number of Edges to Keep Graph Fully Traversable,,,,Hard,,No,,LeetCode,,LeetCode Free,
1584. Min Cost to Connect All Points,,,,Medium,,No,,LeetCode,,LeetCode Free,
1582. Special Positions in a Binary Matrix,,,,Easy,,No,,LeetCode,,LeetCode Free,
1547. Minimum Cost to Cut a Stick,,,,Hard,,No,,LeetCode,,LeetCode Free,
1526. Minimum Number of Increments on Subarrays to Form a Target Array,,,,Hard,,No,,LeetCode,,LeetCode Free,
1544. Make The String Great,,,,Easy,,No,,LeetCode,,LeetCode Free,
1552. Magnetic Force Between Two Balls,,,,Medium,,No,,LeetCode,,LeetCode Free,
1671. Minimum Number of Removals to Make Mountain Array,,,,Hard,,No,,LeetCode,,LeetCode Free,
1653. Minimum Deletions to Make String Balanced,,,,Medium,,No,,LeetCode,,LeetCode Free,
1657. Determine if Two Strings Are Close,,,,Medium,,No,,LeetCode,,LeetCode Free,
1656. Design an Ordered Stream,,,,Easy,,No,,LeetCode,,LeetCode Free,
1658. Minimum Operations to Reduce X to Zero,,,,Medium,,No,,LeetCode,,LeetCode Free,
1646. Get Maximum in Generated Array,,,,Easy,,No,,LeetCode,,LeetCode Free,
1685. Sum of Absolute Differences in a Sorted Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
1691. Maximum Height by Stacking Cuboids,,,,Hard,,No,,LeetCode,,LeetCode Free,
1716. Calculate Money in Leetcode Bank,,,,Easy,,No,,LeetCode,,LeetCode Free,
1670. Design Front Middle Back Queue,,,,Medium,,No,,LeetCode,,LeetCode Free,
1732. Find the Highest Altitude,,,,Easy,,No,,LeetCode,,LeetCode Free,
1780. Check if Number is a Sum of Powers of Three,,,,Medium,,No,,LeetCode,,LeetCode Free,
1813. Sentence Similarity III,,,,Medium,,No,,LeetCode,,LeetCode Free,
1791. Find Center of Star Graph,,,,Easy,,No,,LeetCode,,LeetCode Free,
1823. Find the Winner of the Circular Game,,,,Medium,,No,,LeetCode,,LeetCode Free,
1834. Single-Threaded CPU,,,,Medium,,No,,LeetCode,,LeetCode Free,
1729. Find Followers Count,,,,Easy,,No,,LeetCode,,LeetCode Free,
1845. Seat Reservation Manager,,,,Medium,,No,,LeetCode,,LeetCode Free,
1814. Count Nice Pairs in an Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
1717. Maximum Score From Removing Substrings,,,,Medium,,No,,LeetCode,,LeetCode Free,
1876. Substrings of Size Three with Distinct Characters,,,,Easy,,No,,LeetCode,,LeetCode Free,
1850. Minimum Adjacent Swaps to Reach the Kth Smallest Number,,,,Medium,,No,,LeetCode,,LeetCode Free,
1978. Employees Whose Manager Left the Company,,,,Easy,,No,,LeetCode,,LeetCode Free,
1921. Eliminate Maximum Number of Monsters,,,,Medium,,No,,LeetCode,,LeetCode Free,
1931. Painting a Grid With Three Different Colors,,,,Hard,,No,,LeetCode,,LeetCode Free,
1957. Delete Characters to Make Fancy String,,,,Easy,,No,,LeetCode,,LeetCode Free,
1984. Minimum Difference Between Highest and Lowest of K Scores,,,,Easy,,No,,LeetCode,,LeetCode Free,
1900. The Earliest and Latest Rounds Where Players Compete,,,,Hard,,No,,LeetCode,,LeetCode Free,
1985. Find the Kth Largest Integer in the Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
1991. Find the Middle Index in Array,,,,Easy,,No,,LeetCode,,LeetCode Free,
2048. Next Greater Numerically Balanced Number,,,,Medium,,No,,LeetCode,,LeetCode Free,
2047. Number of Valid Words in a Sentence,,,,Easy,,No,,LeetCode,,LeetCode Free,
2097. Valid Arrangement of Pairs,,,,Hard,,No,,LeetCode,,LeetCode Free,
1992. Find All Groups of Farmland,,,,Medium,,No,,LeetCode,,LeetCode Free,
2115. Find All Possible Recipes from Given Supplies,,,,Medium,,No,,LeetCode,,LeetCode Free,
2033. Minimum Operations to Make a Uni-Value Grid,,,,Medium,,No,,LeetCode,,LeetCode Free,
2071. Maximum Number of Tasks You Can Assign,,,,Hard,,No,,LeetCode,,LeetCode Free,
2007. Find Original Array From Doubled Array,,,,Medium,,No,,LeetCode,,LeetCode Free,
2089. Find Target Indices After Sorting Array,,,,Easy,,No,,LeetCode,,LeetCode Free,
